Field 1,Studio,Date,Headcount,Parent,Type,Studio Location,Parent Location
,FunDog Studios,2025-08-27,,, Indie     ,,
,Eidos Montreal,2025-08-27,, Embracer Group           , Console   ,,
,Crystal Dynamics,2025-08-27,, Embracer Group           , Console   ,,
,RecRoom,2025-08-25,170,, AR/VR     ,,
,Cloud Chamber Studios,2025-08-19,80, TakeTwo Interactive      , Console   ,,
,NantGames,2025-08-11,,NantWorks, Mobile    ,,
,Bithell Games,2025-08-08,11,, Indie     ,,
,Thunderful Games,2025-07-29,,Thunderful Group, Publisher ,,
,MadApper,2025-07-28,,Voodoo, Mobile    ,,
,Sandsoft,2025-07-22,21,, Mobile    ,,
,1047 Games,2025-07-22,,, Console   ,,
,SuperMassive Games,2025-07-22,36,, Console   ,,
,The Chinese Room,2025-07-21,,, Console   ,,
,Ubisoft Redstorm,2025-07-09,19, Ubisoft                  , Console   ,,
,Secret6 Madrid,2025-07-08,42,Catalis Group, Console   ,,
,Romero Games Ltd.,2025-07-03,,, Indie     ,,
,Rare LTD.,2025-07-03,, Microsoft                , Console   ,,
,Black Shamrock,2025-07-02,10,Virtuos, Console   ,,
,Xbox,2025-07-02,, Microsoft                , Publisher ,,
,Sledgehammer Games,2025-07-02,, Microsoft                , Console   ,,
,Raven Software,2025-07-02,, Microsoft                , Console   ,,
,Halo Studio,2025-07-02,, Microsoft                , Console   ,,
,Blizzard Entertainment,2025-07-02,100, Microsoft                , Online    ,,
,The Initiative,2025-07-02,50, Microsoft                , Console   ,,
,Turn10 Studios,2025-07-02,70, Microsoft                , Console   ,,
,Bethesda Softworks,2025-07-02,, Microsoft                , Publisher ,,
,Zenimax Online,2025-07-02,164, Microsoft                , Online    ,,
,King,2025-07-02,200, Microsoft                , Mobile    ,,
,"Cyan, Inc.",2025-06-27,,, Indie     ,,
,DON'T NOD MONTREAL,2025-06-25,,DON'T NOD, Console   ,,
,Stoic Studio,2025-06-24,,, Indie     ,,
,Build a Rocket Boy,2025-06-23,300,, Console   ,,
,Hypixel Studios,2025-06-23,140,Tencent, Online    ,,
,1047 Games,2025-06-20,,, Indie     ,,
,WB Montreal,2025-06-18,23,Warner Brothers, Console   ,,
,Archetype Entertainment,2025-06-16,,Hasbro, Console   ,,
,FreeRange Games,2025-06-16,80,, Indie     ,,
,Bend Studio,2025-06-10,40, Sony                     , Console   ,,
,Jagex,2025-06-05,,Tencent, Online    ,,
,Playtika,2025-06-05,160,PlayTika, Mobile    ,,
,Outplay Entertainment,2025-06-05,21,, Mobile    ,,
,EA Montreal,2025-06-02,10, Electronic Arts          , Console   ,,
,Echtra Games,2025-06-02,60, TakeTwo Interactive      , Online    ,,
,People Can Fly Studios,2025-06-01,120,, Console   ,,
,Playtonic,2025-05-30,,, Indie     ,,
,Cliffhanger Games,2025-05-28,75, Electronic Arts          , Console   ,,
,Uncapped Games,2025-05-23,40,Tencent, Online    ,,
,Keywords Studios,2025-05-22,11,Keywords Studios, Publisher ,,
,Wooga,2025-05-19,50,, Mobile    ,,
,SuperEvil MegaCorp,2025-05-13,20,, Mobile    ,,
,Mainframe Industries,2025-05-06,17,, Online    ,,
, Electronic Arts           ,2025-04-29,300, Electronic Arts          , Publisher ,,
, Respawn Entertainment     ,2025-04-29,100, Electronic Arts          , Console   ,,
,Reality Labs,2025-04-25,100, Meta                     , AR/VR     ,,
,Might Yell,2025-04-25,,, AR/VR     ,,
,Behaviour Interactive,2025-04-24,15,, Console   ,,
,Nerial Ltd.,2025-04-22,7,Devolver Digital, Mobile    ,,
,Makea Games,2025-04-16,20,,,,
,Brass Lion Entertainment,2025-04-07,13,, Indie     ,,
,PlaySide,2025-04-01,,, Indie     ,,
,Eidos Montreal,2025-03-31,75, Embracer Group           , Console   ,,
,"Cyan, Inc.",2025-03-28,12,, Indie     ,,
,PLAION,2025-03-27,40, Embracer Group           , Publisher ,,
,Machine Zone,2025-03-21,97,App Lovin, Mobile    ,,
,Crystal Dynamics,2025-03-26,17, Embracer Group           , Console   ,,
, Elodie Games              ,2025-03-19,35,, Indie     ,,
,Studio Fizbin,2025-03-18,25,Thunderful Group, Console   ,,
,Farm51,2025-03-14,15,, Indie     ,,
,Mountaintop Studios,2025-03-14,80,, Online    ,,
,Box Dragon,2025-03-13,5,, Indie     ,,
,FreeRange Games,2025-03-13,,, Indie     ,,
,PlayStation Malaysia,2025-03-05,20, Sony                     , Console   ,,
,PlayStation VASG,2025-03-04,, Sony                     , Console   ,,
,Azra Games Austin,2025-02-26,40,Azra, Mobile    ,,
,SpaceApe Games,2025-02-25,30,SuperCell, Mobile    ,,
,WB San Diego,2025-02-25,51,Warner Brothers, Online    ,,
,Player First Games,2025-02-25,70,Warner Brothers, Console   ,,
,Monolith Productions,2025-02-25,170,Warner Brothers, Console   ,,
,Skeleton Key Games,2025-02-24,,Hasbro, Console   ,,
, Striking Distance Studios ,2025-02-20,30, Krafton                  , Console   ,,
,Bossa Games,2025-02-20,,, Indie     ,,
,Liquid Sword,2025-02-17,46,, Indie     ,,
,Netease,2025-02-17,10,Netease, Console   ,,
,Sanzaru Games,2025-02-12,, Meta                     ,,,
,Crytek,2025-02-12,60,, Console   ,,
, Unity Technologies        ,2025-02-11,,Unity, Tech      ,,
,10:10 Games,2025-02-07,18,, Indie     ,,
,HiRez Studios,2025-02-06,69,, Online    ,,
,Iron Galaxy,2025-02-05,66,, Console   ,,
, probablyMonsters          ,2025-02-04,,, Console   ,,
,Sumo Group,2025-02-04,,Tencent, Console   ,,
,Midnight Society,2025-01-30,55,, Online    ,,
, Bioware Games             ,2025-01-30,, Electronic Arts          , Console   ,,
,Fast Travel Games,2025-01-28,30,, AR/VR     ,,
, Phoenix Labs              ,2025-01-27,50,Forte, Online    ,,
,MoonActive,2025-01-27,20,,Mobile,,
,Ubisoft Reflections ,2025-01-27,50, Ubisoft                  , Console   ,,
,Ubisoft Dusseldorf,2025-01-27,85, Ubisoft                  , Console   ,,
,Ubisoft Leamington,2025-01-27,50, Ubisoft                  , Console   ,,
,Machine Zone,2025-01-21,89,App Lovin, Mobile    ,California,United States
,Reflector Entertainment,2025-01-21,,Bandai Namco, Console   ,Quebec,Japan
,Unchained Entertainment,2025-01-17,25,, Indie     ,,
,Wargaming USA,2025-01-15,,Wargaming, Console   ,Chicago,
,Highwire Games,2025-01-10,,, Console   ,,
,Toadman Interactive,2025-01-09,69, Enad Global 7            , Console   ,Sweden,Sweden
,Pirahna Games,2025-01-09,38, Enad Global 7            , Console   ,British Columbia,Sweden
, Counterplay Games         ,2025-01-09,,, Indie     ,California,United States
,Freejam,2025-01-09,,, Indie     ,,
,Splash Damage,2025-01-08,,Tencent, Console   ,United Kingdom,China
,jar of Sparks,2025-01-06,35,Netease, Console   ,,
,Netmarble F&C,2025-01-02,20, Netmarble                , Mobile    ,South Korea,South Korea
